,区名,出生,死亡,差,転入,転出,その他,差.1,増減人口,Unnamed: 9,Unnamed: 10,日付
0,総数,1713,2083,-370,15174,13018,-204,1952,1582,,,2019-07-01
1,北区,112,63,49,1134,862,-20,252,301,,,2019-07-01
2,都島区,42,80,-38,545,468,-1,76,38,,,2019-07-01
3,福島区,63,43,20,499,410,3,92,112,,,2019-07-01
4,此花区,34,55,-21,222,293,-4,-75,-96,,,2019-07-01
5,中央区,82,57,25,1193,939,-18,236,261,,,2019-07-01
6,西区,81,46,35,882,764,-3,115,150,,,2019-07-01
7,港区,55,76,-21,339,315,-12,12,-9,,,2019-07-01
8,大正区,34,55,-21,206,182,-2,22,1,,,2019-07-01
9,天王寺区,64,45,19,500,434,-11,55,74,,,2019-07-01
10,浪速区,59,45,14,814,802,-11,1,15,,,2019-07-01
11,西淀川区,50,76,-26,478,372,-3,103,77,,,2019-07-01
12,淀川区,135,107,28,1122,922,-4,196,224,,,2019-07-01
13,東淀川区,91,119,-28,940,796,-28,116,88,,,2019-07-01
14,東成区,49,58,-9,629,512,-4,113,104,,,2019-07-01
15,生野区,77,113,-36,690,631,-8,51,15,,,2019-07-01
16,旭区,60,74,-14,370,316,-9,45,31,,,2019-07-01
17,城東区,109,133,-24,793,687,1,107,83,,,2019-07-01
18,鶴見区,80,58,22,382,339,-3,40,62,,,2019-07-01
19,阿倍野区,84,73,11,499,408,-13,78,89,,,2019-07-01
20,住之江区,59,90,-31,397,384,-1,12,-19,,,2019-07-01
21,住吉区,81,138,-57,697,581,-3,113,56,,,2019-07-01
22,東住吉区,72,122,-50,559,486,-11,62,12,,,2019-07-01
23,平野区,108,162,-54,759,628,-1,130,76,,,2019-07-01
24,西成区,32,195,-163,525,487,-38,0,-163,,,2019-07-01
